full.filename.txt,ObjectID,Name,COUNTRY,YEAR,EVENTTYPE,INTERNALEVENTNUM,SOURCE,TRANSLATOR,PUBLISHER,PUBLISHER_LOCATION,COPYRIGHT,no.text,not.in.chronology,duplicated,language,not.available.in.english,filename,size
Cameroon_1972EnglishPrivate_158.txt,158,Cameroon's Constitution of 1972,Cameroon,1972,new,181,Constitutional and Parliamentary Information,Not Specified,Not Specified,Not Specified,Not Specified,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Cameroon_1972EnglishPrivate_158.txt,24154
Cameroon_1975EnglishPrivate_159.txt,159,Cameroon's Constitution of 1972 with Amendments through 1975,Cameroon,1975,amendment,1335,Constitutions of the Countries of the World,Not Specified,"Oceana Publications, Inc.",Dobbs Ferry,1977,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Cameroon_1975EnglishPrivate_159.txt,50078
Cameroon_1984EnglishPrivate_160.txt,160,1984 Amendment to Cameroon's Constitution of 1972,Cameroon,1984,amendment,1337,Constitutions of the Countries of the World,Not Specified,"Oceana Publications, Inc.",Dobbs Ferry,1985,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Cameroon_1984EnglishPrivate_160.txt,100098
Cameroon_1996EnglishPrivate_161.txt,161,Cameroon's Constitution of 1972 with Amendments through 1996,Cameroon,1996,amendment,182,Constitutions of the Countries of the World,Official,"Oceana Publications, Inc.",Dobbs Ferry,2006,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Cameroon_1996EnglishPrivate_161.txt,54653
Cameroon_2008EnglishPrivate_10777.txt,10777,2008 Amendment to Cameroon's Constitution of 1972 ,Cameroon,2008,amendment,3932,HeinOnline,Not Specified,"William S. Hein & Co., Inc.",Buffalo,2010,FALSE,TRUE,TRUE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Cameroon_2008EnglishPrivate_10777.txt,60661
Cameroon_2008EnglishPrivate_11998.txt,11998,Cameroon's Constitution of 1972 with Amendments through 2008,Cameroon,2008,amendment,3932,Constitutions of the Countries of the World (online),Official,"Oxford University Press, Inc.",New York,2012,FALSE,TRUE,TRUE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Cameroon_2008EnglishPrivate_11998.txt,60661
Canada_1763EnglishPrivate_162.txt,162,Canada's Constitution of 1763,Canada,1763,new,3156,"Avalon Project, The",Not Specified,"Yale Law School, Lillian Goldman Law Library",New Haven,2008,FALSE,TRUE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1763EnglishPrivate_162.txt,12206
Canada_1791EnglishPrivate_163.txt,163,Canada's Constitution of 1791,Canada,1791,new,3157,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,TRUE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1791EnglishPrivate_163.txt,56465
Canada_1867EnglishPrivate_164.txt,164,Canada's Constitution of 1867,Canada,1867,new,185,Constitutions of Nations,Not Specified,"Rumford Press, The",Concord,1950,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1867EnglishPrivate_164.txt,59098
Canada_1871EnglishPrivate_165.txt,165,1871 Amendment to Canada's Constitution of 1867,Canada,1871,amendment,2081,"Solon Law Archive, The",Not Specified,William F. Maton,Not Specified,2004,FALSE,FALSE,FALSE,English,FALSE,C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Canada_1871EnglishPrivate_165.txt,3387
